Metric,2025-04-30-08-44-50,2025-04-30-08-44-52,2025-04-30-09-31-06,2025-04-30-09-31-08,2025-04-30-10-17-51,2025-04-30-10-17-53,2025-04-30-11-04-12,2025-04-30-11-04-14,2025-04-30-11-50-33,2025-04-30-11-50-35
tma_fetch_bandwidth,20.6,21.0,20.4,21.1,20.6,20.9,21.1,20.4,21.1,20.1
tma_fetch_latency,22.4,22.7,22.7,23.0,22.9,23.0,22.4,22.5,22.5,24.9
