Metric,2025-04-30-17-36-11,2025-04-30-17-36-13,2025-04-30-18-22-57,2025-04-30-18-22-59,2025-04-30-19-11-30,2025-04-30-19-11-32,2025-04-30-19-58-18,2025-04-30-19-58-20,2025-04-30-20-44-44,2025-04-30-20-44-46
tma_core_bound,4.6,5.4,6.1,3.6,5.3,4.6,5.9,5.1,5.1,4.5
tma_memory_bound,3.7,2.0,2.3,3.0,2.0,3.7,2.3,1.9,1.9,3.6
