Metric,2025-04-28-13-48-00,2025-04-28-14-43-56,2025-04-28-15-40-04,2025-04-28-16-35-47,2025-04-28-17-31-06,2025-04-29-01-22-28,2025-04-29-03-13-29,2025-04-29-05-04-19,2025-04-29-06-56-32,2025-04-29-08-46-59
tma_core_bound,5.1,5.0,4.6,4.5,4.5,4.5,4.5,4.4,4.6,4.1
tma_memory_bound,4.2,4.1,3.6,3.5,3.6,3.5,3.5,3.5,3.6,3.3
