Metric,2025-05-01-05-35-14,2025-05-01-05-35-16,2025-05-01-06-22-26,2025-05-01-06-22-28,2025-05-01-07-09-20,2025-05-01-07-09-22,2025-05-01-07-56-22,2025-05-01-07-56-24,2025-05-01-08-43-46,2025-05-01-08-43-48
tma_branch_resteers,5.5,5.7,5.5,5.8,5.7,6.1,5.6,7.0,5.4,9.2
tma_dsb_switches,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
tma_icache_misses,10.0,10.0,9.4,9.6,9.9,9.6,9.5,10.0,9.5,9.9
tma_itlb_misses,9.3,9.7,9.3,9.4,9.3,9.4,9.3,9.4,9.3,9.8
tma_lcp,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
tma_ms_switches,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
