Metric,2025-04-28-13-47-58,2025-04-28-14-43-54,2025-04-28-15-40-02,2025-04-28-16-35-45,2025-04-28-17-31-04,2025-04-29-00-27-23,2025-04-29-02-18-03,2025-04-29-04-08-37,2025-04-29-06-01-16,2025-04-29-07-51-59
tma_fetch_bandwidth,21.0,21.3,20.9,21.0,20.4,21.2,21.1,21.0,21.1,21.3
tma_fetch_latency,22.2,22.1,22.0,22.0,22.1,22.4,23.0,23.1,22.4,22.3
