Metric,1,2,3,4,5
time_elapsed,0.747127990,0.727008438,0.748402323,0.742810641,0.740642790
tma_fetch_bandwidth,2.9,2.9,2.9,2.9,2.9
tma_fetch_latency,6.2,6.2,6.2,6.2,6.2
