Metric,2025-05-04-06-41-39,2025-05-04-06-41-41,2025-05-09-03-23-07,2025-05-09-03-47-16,2025-05-09-03-47-18,2025-05-09-14-31-55,2025-05-09-14-55-08,2025-05-09-14-55-10
time_elapsed,1147.099593148,1101.485454971,872.430798055,284.420084747,1093.664533306,270.001853122,1085.536702082,1151.340729173
tma_branch_resteers,11.7,11.1,10.4,4.7,10.9,3.7,11.0,11.4
tma_dsb_switches,2.0,2.1,2.0,1.0,2.1,0.8,2.1,2.0
tma_icache_misses,17.4,17.0,16.2,5.2,17.0,3.3,17.2,17.1
tma_itlb_misses,5.6,5.4,5.1,1.7,5.3,1.2,5.3,5.6
tma_lcp,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
tma_ms_switches,1.2,1.2,1.2,1.5,1.3,1.5,1.2,1.2
