Metric,1,2,3,4,5
time_elapsed,0.375913730,0.379026843,0.377862377,0.374890944,0.382113505
tma_fetch_bandwidth,8.7,8.6,8.6,8.7,8.6
tma_fetch_latency,22.3,22.2,22.1,22.1,22.5
