Metric,2025-04-28-13-48-00,2025-04-28-14-43-56,2025-04-28-15-40-04,2025-04-28-16-35-47,2025-04-28-17-31-06,2025-04-29-01-22-28,2025-04-29-03-13-29,2025-04-29-05-04-19,2025-04-29-06-56-32,2025-04-29-08-46-59
time_elapsed,3051.035162884,3062.318099891,3036.330929215,3013.710071931,3046.065400891,3033.403402886,3005.760073575,3115.688256555,3025.534741350,3132.723864444
tma_core_bound,5.1,5.0,4.6,4.5,4.5,4.5,4.5,4.4,4.6,4.1
tma_memory_bound,4.2,4.1,3.6,3.5,3.6,3.5,3.5,3.5,3.6,3.3
total_uops,"19,418,215,853,811","19,389,161,562,543","19,339,395,674,789","19,327,068,969,156","19,344,236,031,327","19,345,003,135,624","19,337,922,259,955","19,366,522,986,577","19,355,469,749,329","19,337,965,918,871"
