Metric,1,2,3,4,5
time_elapsed,1.366190377,1.356941091,1.366151884,1.365497152,1.387335333
tma_backend_bound,44.6,44.4,45.3,43.9,43.5
tma_bad_speculation,7.3,7.2,7.2,7.8,8.4
tma_frontend_bound,15.6,16.2,15.3,16.3,16.6
tma_retiring,32.5,32.2,32.2,32.0,31.6
total_uops,"7,614,004,782","7,542,866,012","7,584,361,634","7,711,131,485","7,793,800,565"
