Metric,2025-05-05-04-06-35,2025-05-05-07-39-56,2025-05-05-07-39-58,2025-05-05-11-15-35,2025-05-05-11-15-37
time_elapsed,12392.845276155,12632.851709161,12346.322184235,12311.874958472,12306.426448620
tma_branch_resteers,12.4,13.3,12.4,12.4,12.6
tma_dsb_switches,2.0,1.9,2.0,2.0,2.0
tma_icache_misses,20.0,20.3,19.7,19.1,19.4
tma_itlb_misses,6.6,6.8,6.5,6.7,6.7
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.2,1.2,1.2,1.2,1.2
