Metric,2025-04-30-17-36-11,2025-04-30-17-36-13,2025-04-30-18-22-57,2025-04-30-18-22-59,2025-04-30-19-11-30,2025-04-30-19-11-32,2025-04-30-19-58-18,2025-04-30-19-58-20,2025-04-30-20-44-44,2025-04-30-20-44-46
time_elapsed,2500.876677478,2478.745343955,2464.530508034,2607.274854598,2465.352250279,2502.576980157,2471.852097222,2480.363184212,2470.828485898,2486.639648885
tma_core_bound,4.6,5.4,6.1,3.6,5.3,4.6,5.9,5.1,5.1,4.5
tma_memory_bound,3.7,2.0,2.3,3.0,2.0,3.7,2.3,1.9,1.9,3.6
total_uops,"15,916,185,698,954","15,910,588,297,271","15,922,204,736,574","15,906,043,416,790","15,898,366,925,146","16,035,936,045,730","15,918,395,414,294","15,891,712,673,567","15,892,081,607,137","15,951,878,345,222"
