Metric,1,2,3,4,5
time_elapsed,1.351264310,1.372492933,1.355645595,1.367258052,1.355337253
tma_fetch_bandwidth,5.5,5.8,5.6,5.4,5.5
tma_fetch_latency,10.2,10.5,10.2,10.2,10.2
