Metric,1.txt,2,3,4,5
time_elapsed,0.390017547,0.380191060,0.387937829,0.383421061,0.376814916
tma_backend_bound,32.5,32.3,34.3,30.3,27.9
tma_bad_speculation,5.8,6.2,6.0,6.7,7.5
tma_frontend_bound,31.5,30.1,30.4,32.8,32.9
tma_retiring,30.3,31.3,29.3,30.2,31.8
total_uops,"1,374,945,018","1,421,203,886","1,335,294,953","1,338,741,669","1,363,093,792"
