Metric,2025-05-04-00-29-18,2025-05-04-00-29-20,2025-05-09-00-38-09,2025-05-09-01-02-12,2025-05-09-01-02-14,2025-05-09-01-26-45
time_elapsed,1009.281521211,91.859094043,1108.892678627,1165.470594491,1091.835415351,1095.578072393
tma_branch_resteers,10.7,4.3,10.8,10.5,10.9,10.3
tma_dsb_switches,2.1,0.9,2.0,2.1,2.1,2.0
tma_icache_misses,16.7,4.6,17.3,16.3,16.9,16.1
tma_itlb_misses,5.3,1.5,5.4,5.3,5.3,5.2
tma_lcp,0.1,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.2,1.5,1.2,1.2,1.2,1.2
