Metric,2025-04-30-00-48-17,2025-04-30-00-48-19,2025-04-30-01-28-53,2025-04-30-01-28-55,2025-04-30-02-09-27,2025-04-30-02-09-29,2025-04-30-02-50-22,2025-04-30-02-50-24,2025-04-30-03-31-17,2025-04-30-03-31-19
time_elapsed,2107.877092575,2130.554993446,2120.738105073,2128.171462945,2148.876849073,2131.383423659,2127.894215945,2148.939736140,2135.030690044,2119.732513284
tma_backend_bound,9.3,8.2,10.3,9.3,9.1,10.5,10.3,8.8,10.1,9.0
tma_bad_speculation,3.4,3.4,3.5,3.4,3.3,3.5,3.4,3.4,3.5,3.4
tma_frontend_bound,45.0,46.3,44.0,45.2,45.9,44.1,44.3,46.1,44.4,45.4
tma_retiring,42.4,42.1,42.2,42.1,41.7,41.9,42.1,41.7,42.0,42.2
total_uops,"12,657,441,812,174","12,656,559,786,742","12,687,000,594,672","12,663,124,417,448","12,644,179,188,329","12,697,298,097,549","12,666,994,696,536","12,656,648,107,972","12,680,553,653,507","12,655,267,117,249"
