Metric,2025-05-08-04-17-12,2025-05-08-09-05-27,2025-05-08-09-05-29,2025-05-08-13-54-54,2025-05-08-13-54-56
time_elapsed,16958.067728409,17060.455678578,16975.872429093,16938.738587927,17168.809706640
tma_branch_resteers,13.5,13.6,13.7,13.5,13.8
tma_dsb_switches,2.1,2.1,2.1,2.1,2.1
tma_icache_misses,18.7,18.9,18.9,18.7,18.8
tma_itlb_misses,4.9,5.0,4.9,4.8,4.9
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.4,1.4,1.4,1.4,1.4
