Metric,2025-05-02-00-53-51,2025-05-02-00-53-53,2025-05-05-16-11-26,2025-05-05-17-34-59,2025-05-05-17-35-01
time_elapsed,4557.953779759,4629.624450267,4708.472332455,4658.320593513,4538.487229647
tma_fetch_bandwidth,14.0,13.7,13.6,13.6,14.1
tma_fetch_latency,35.6,35.4,36.8,36.0,35.5
