Metric,1,2,3,4,5
time_elapsed,0.398456303,0.401741884,0.404646529,0.397770969,0.398022697
tma_branch_resteers,12.5,14.0,13.6,13.2,14.4
tma_dsb_switches,1.7,1.6,1.7,1.6,2.1
tma_icache_misses,9.5,11.0,10.2,12.2,6.5
tma_itlb_misses,1.7,1.7,1.7,1.8,1.8
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,2.9,3.0,2.9,3.0,3.3
