Metric,2025-05-03-01-37-21,2025-05-03-01-37-23,2025-05-06-18-41-02,2025-05-06-18-41-04,2025-05-06-20-44-03
time_elapsed,7134.235136561,6898.360062398,6951.615244912,7074.318216391,6924.597110859
tma_backend_bound,18.4,19.0,19.8,18.6,20.2
tma_bad_speculation,6.0,6.2,6.2,6.1,6.1
tma_frontend_bound,48.2,46.5,45.8,47.1,45.5
tma_retiring,27.4,28.3,28.3,28.2,28.2
total_uops,"30,170,454,957,549","30,412,743,340,390","30,567,573,524,395","30,728,110,325,024","30,103,094,608,254"
