Metric,2025-05-06-08-21-58,2025-05-06-10-19-58,2025-05-06-10-20-00,2025-05-06-12-22-58,2025-05-06-12-23-00
time_elapsed,6766.712533292,7073.829186552,6776.525359455,6780.096172769,6978.055444120
tma_branch_resteers,10.5,12.6,10.5,10.4,11.8
tma_dsb_switches,2.0,1.9,2.0,2.0,2.0
tma_icache_misses,17.4,17.5,17.3,17.5,17.7
tma_itlb_misses,6.7,6.9,6.7,6.7,7.0
tma_lcp,0.4,0.4,0.4,0.4,0.4
tma_ms_switches,1.7,1.6,1.7,1.7,1.6
