Metric,2025-05-01-09-32-54,2025-05-01-09-32-56,2025-05-01-10-13-35,2025-05-01-10-13-37,2025-05-01-10-54-49,2025-05-01-10-54-51,2025-05-01-11-35-45,2025-05-01-11-35-47,2025-05-01-12-16-34,2025-05-01-12-16-36
time_elapsed,2134.894827897,2103.379255785,2111.482958928,2167.888595732,2150.529525915,2118.692644414,2143.119049704,2142.896167882,2157.654419127,2141.473643269
tma_branch_resteers,7.0,6.7,6.5,7.0,7.0,6.7,6.8,7.3,7.8,6.9
tma_dsb_switches,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2
tma_icache_misses,12.2,12.3,12.4,12.3,12.1,11.9,11.9,12.5,12.5,11.8
tma_itlb_misses,10.0,9.7,9.9,9.9,9.9,9.9,9.9,10.3,10.1,9.8
tma_lcp,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
tma_ms_switches,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
