Metric,1,2,3,4,5
time_elapsed,0.750917093,0.758248140,0.756349588,0.752074611,0.750995686
tma_core_bound,25.3,24.9,24.9,24.6,25.5
tma_memory_bound,17.2,15.9,15.8,15.4,15.2
total_uops,"9,083,287,404","9,184,649,088","9,196,760,054","9,221,421,118","9,272,143,257"
