Metric,1,2,3,4,5
time_elapsed,1.394502961,1.392797168,1.409781651,1.406722843,1.404488363
tma_branch_resteers,5.3,5.5,6.2,5.7,6.2
tma_dsb_switches,2.3,2.4,2.5,2.5,2.4
tma_icache_misses,2.3,1.9,2.5,2.4,2.0
tma_itlb_misses,0.4,0.4,0.4,0.4,0.4
tma_lcp,0.0,0.0,0.0,0.0,0.0
tma_ms_switches,1.3,1.5,1.3,1.5,1.3
