Metric,2025-05-04-03-50-52,2025-05-04-03-50-54,2025-05-08-20-17-38,2025-05-08-20-50-19,2025-05-08-20-50-21
time_elapsed,1661.975181241,1617.651064652,1581.534056842,1664.664202149,1661.143194405
tma_fetch_bandwidth,10.9,10.8,11.3,10.8,10.5
tma_fetch_latency,34.2,34.3,34.9,34.1,34.0
