Metric,2025-05-03-12-34-56,2025-05-03-12-34-58,2025-05-07-13-47-58,2025-05-07-18-36-41,2025-05-07-18-36-43
time_elapsed,16844.804104552,17096.273183741,16908.242131262,16866.800135664,17023.570208527
tma_fetch_bandwidth,11.1,11.0,11.1,11.0,11.0
tma_fetch_latency,35.0,36.3,35.6,35.5,35.6
