Metric,2025-05-04-04-23-41,2025-05-04-04-23-43,2025-05-08-21-23-11,2025-05-08-21-23-13,2025-05-08-21-55-56
time_elapsed,1606.294060641,1663.020196705,1657.684122717,1611.549162318,1647.585094653
tma_core_bound,8.0,8.1,8.1,8.1,7.7
tma_memory_bound,12.6,13.0,13.0,13.0,12.0
total_uops,"6,407,614,837,004","6,400,736,267,992","6,366,526,975,942","6,408,244,044,503","6,360,493,166,001"
