Metric,2025-05-03-03-41-22,2025-05-03-03-41-24,2025-05-06-20-44-05,2025-05-06-22-44-35,2025-05-06-22-44-37
time_elapsed,6931.501034959,6742.669113992,6841.520065901,6857.819124591,6788.304965908
tma_fetch_bandwidth,12.0,12.2,12.2,12.0,12.1
tma_fetch_latency,33.5,34.1,33.7,33.8,34.6
