Metric,2025-05-03-23-39-48,2025-05-03-23-39-50,2025-05-08-23-26-31,2025-05-08-23-50-27,2025-05-08-23-50-29,2025-05-09-14-08-01
time_elapsed,1091.482126952,1142.011154854,1130.868105057,285.191288942,1097.386008121,1125.819259096
tma_fetch_bandwidth,9.6,9.5,9.6,5.4,9.4,9.7
tma_fetch_latency,31.5,31.1,30.8,10.2,29.7,30.3
