Metric,1,2,3,4,5
time_elapsed,0.763463291,0.749399887,0.766002557,0.755862772,0.766040826
tma_backend_bound,40.7,40.9,42.0,40.5,41.0
tma_bad_speculation,6.2,6.9,6.6,6.7,6.6
tma_frontend_bound,9.5,8.9,8.5,9.1,9.0
tma_retiring,43.6,43.2,42.8,43.7,43.3
total_uops,"9,858,356,993","9,866,326,993","9,778,775,381","9,745,854,217","9,837,838,683"
