Metric,2025-05-01-14-28-50,2025-05-01-14-28-52,2025-05-04-14-01-40,2025-05-04-14-01-42,2025-05-04-17-32-21
time_elapsed,12327.426315138,12381.373260423,12335.182031661,12291.465458855,12303.956471648
tma_backend_bound,15.7,15.2,15.4,15.2,15.7
tma_bad_speculation,4.2,4.2,4.1,4.2,4.2
tma_frontend_bound,48.9,49.7,49.4,49.3,48.9
tma_retiring,31.1,31.0,31.1,31.2,31.2
total_uops,"57,419,675,325,294","57,361,049,258,671","57,228,243,356,644","57,435,602,971,069","57,401,947,191,407"
