Metric,2025-05-01-18-00-17,2025-05-01-18-00-19,2025-05-05-14-45-52,2025-05-05-14-45-55,2025-05-05-16-11-24
time_elapsed,4685.696737890,4637.872948266,4825.940357437,4798.845358255,4593.043572118
tma_backend_bound,14.8,13.4,13.7,12.4,13.8
tma_bad_speculation,5.7,5.7,5.5,5.2,5.8
tma_frontend_bound,49.4,50.4,51.4,52.9,49.6
tma_retiring,30.2,30.5,29.4,29.4,30.8
total_uops,"21,846,101,237,823","21,798,079,389,325","21,820,072,835,659","21,613,048,643,664","21,791,121,606,349"
