Metric,2025-05-03-17-24-59,2025-05-03-17-25-01,2025-05-07-23-25-31,2025-05-07-23-25-33,2025-05-08-04-17-10
time_elapsed,17020.985937296,16948.967169007,17056.701107990,17190.987002741,16990.029049797
tma_core_bound,7.6,7.6,7.6,7.4,7.7
tma_memory_bound,13.0,12.7,13.0,12.5,13.1
total_uops,"72,666,347,405,169","73,037,470,120,691","72,756,800,524,366","73,615,674,026,828","72,881,450,206,436"
