Metric,2025-05-07-02-43-58,2025-05-07-04-48-08,2025-05-07-04-48-11,2025-05-07-06-52-19,2025-05-07-06-52-21
time_elapsed,6866.290740522,7142.985719579,6783.341673929,6905.140617071,7025.929691671
tma_branch_resteers,12.2,12.4,12.2,11.9,12.7
tma_dsb_switches,1.7,1.7,1.7,1.7,1.7
tma_icache_misses,17.2,17.3,17.3,17.3,17.6
tma_itlb_misses,4.8,5.0,4.9,4.8,5.1
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.8,1.8,1.8,1.8,1.8
