Metric,1,2,3,4,5
time_elapsed,0.389815436,0.384524681,0.388219898,0.391215897,0.390549847
tma_core_bound,8.4,14.6,17.6,8.5,9.5
tma_memory_bound,15.5,24.5,24.3,14.1,14.6
total_uops,"987,925,905","851,606,347","925,534,560","988,149,953","865,431,176"
