Metric,2025-05-04-00-03-57,2025-05-04-00-03-59,2025-05-09-00-13-52,2025-05-09-00-13-54,2025-05-09-00-38-07
time_elapsed,1100.739995105,1136.819098959,1147.999127730,1100.848993040,1137.559970272
tma_core_bound,9.8,9.8,9.8,9.7,9.9
tma_memory_bound,16.5,16.6,16.8,16.3,16.5
total_uops,"4,227,771,680,991","4,196,510,015,219","4,199,654,301,821","4,227,050,756,710","4,196,691,883,609"
