Metric,1,2,3,4,5
time_elapsed,0.758531805,0.754906480,0.764866399,0.766100427,0.759541408
tma_branch_resteers,6.5,5.9,5.7,5.4,5.3
tma_dsb_switches,0.4,0.5,0.4,0.5,0.4
tma_icache_misses,1.7,2.2,1.9,1.6,1.7
tma_itlb_misses,0.4,0.4,0.4,0.4,0.5
tma_lcp,0.0,0.0,0.0,0.0,0.0
tma_ms_switches,0.9,1.1,1.2,1.1,1.3
