Metric,2025-05-02-07-44-56,2025-05-02-07-44-58,2025-05-05-18-57-43,2025-05-05-18-57-45,2025-05-05-20-20-22
time_elapsed,4588.196928218,4689.687609528,4653.151458094,4587.304489283,4567.571484582
tma_core_bound,6.0,6.4,6.3,5.8,6.0
tma_memory_bound,8.0,9.0,8.8,7.8,8.0
total_uops,"21,842,793,821,391","21,949,945,544,979","21,837,419,713,951","21,793,719,179,369","21,791,648,095,869"
