Metric,2025-05-02-02-16-06,2025-05-02-02-16-08,2025-05-06-02-26-17,2025-05-06-04-23-49,2025-05-06-04-23-51
time_elapsed,6730.704742105,6677.239501199,6685.359766626,6846.687645962,6764.207593849
tma_fetch_bandwidth,14.0,14.1,14.2,13.8,14.0
tma_fetch_latency,33.1,33.4,33.1,34.5,34.2
