Metric,1,2,3,4,5
time_elapsed,0.770091295,0.769637484,0.759135945,0.759835759,0.749239125
tma_ports_utilized_0,36377779150.0,42618851550.0,37429530800.0,44672648450.0,38278278450.0
tma_ports_utilized_1,39211959350.0,39427849950.0,39888640200.0,36634073450.0,45880295350.0
tma_ports_utilized_2,44398625150.0,40741220050.0,30590100000.0,39083016500.0,37174902450.0
tma_ports_utilized_3m,17.7,20.8,21.3,19.4,19.9
total_uops,"8,213,379,686","8,918,278,618","8,673,769,757","8,740,706,152","8,307,931,553"
