Metric,2025-05-05-20-20-24,2025-05-05-21-43-02,2025-05-05-21-43-04,2025-05-05-23-05-56,2025-05-05-23-05-58
time_elapsed,4654.354005788,4667.861115659,4570.370877655,4622.823507291,4578.328485606
tma_branch_resteers,11.8,11.7,11.8,12.0,11.9
tma_dsb_switches,1.8,1.8,1.9,1.8,1.9
tma_icache_misses,18.4,18.6,18.8,18.4,18.8
tma_itlb_misses,7.1,7.1,6.9,7.0,6.9
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.5,1.5,1.5,1.5,1.5
