Metric,2025-05-01-21-21-56,2025-05-01-21-21-58,2025-05-04-17-32-23,2025-05-04-21-02-31,2025-05-04-21-02-33
time_elapsed,12409.044725784,12221.090956554,12162.758105084,12246.909995919,12391.137117049
tma_fetch_bandwidth,12.4,12.5,12.5,12.5,12.4
tma_fetch_latency,37.2,36.7,36.5,37.1,37.1
