Metric,2025-04-29-20-51-45,2025-04-29-20-51-47,2025-04-29-21-38-56,2025-04-29-21-38-58,2025-04-29-22-26-45,2025-04-29-22-26-47,2025-04-29-23-13-29,2025-04-29-23-13-31,2025-04-30-00-01-13,2025-04-30-00-01-16
time_elapsed,2432.352240983,2525.242510833,2563.445041165,2480.241760343,2486.694370289,2498.199160789,2481.121292622,2558.299424199,2517.512193777,2456.286498349
tma_backend_bound,7.6,7.6,7.7,7.5,7.8,8.1,7.1,7.7,8.1,7.5
tma_bad_speculation,2.9,2.9,2.8,2.9,2.9,3.0,2.9,2.8,2.8,2.9
tma_frontend_bound,43.5,45.0,45.1,43.9,43.6,43.3,44.1,45.2,43.8,43.4
tma_retiring,46.0,44.5,44.4,45.8,45.7,45.5,45.9,44.3,45.3,46.2
total_uops,"15,907,487,237,177","15,923,250,369,722","15,904,426,152,369","15,916,796,648,004","15,915,882,064,988","15,941,822,534,586","15,907,178,800,947","15,923,109,576,177","15,903,174,227,146","15,916,241,172,537"
