Metric,2025-05-01-19-23-29,2025-05-01-19-23-31,2025-05-06-00-28-05,2025-05-06-00-28-07,2025-05-06-02-26-15
time_elapsed,6801.452566091,6723.613755188,6784.794734815,6765.183051392,6747.445707321
tma_backend_bound,14.9,14.3,15.0,14.0,15.0
tma_bad_speculation,5.2,5.3,5.2,5.4,5.3
tma_frontend_bound,47.2,47.4,47.0,47.8,46.8
tma_retiring,32.7,33.0,32.8,32.8,32.9
total_uops,"33,650,714,682,551","33,723,824,510,693","33,680,804,152,336","33,806,934,905,680","33,722,918,371,675"
