Metric,2025-05-04-04-56-32,2025-05-04-04-56-34,2025-05-08-21-55-58,2025-05-08-22-28-31,2025-05-08-22-28-33
time_elapsed,1635.845436947,1689.262926396,1647.575787482,1696.171741738,1595.171790249
tma_branch_resteers,12.9,12.6,12.7,12.4,12.9
tma_dsb_switches,2.0,1.9,1.9,1.9,2.0
tma_icache_misses,18.2,17.9,18.4,17.9,18.4
tma_itlb_misses,5.5,5.6,5.6,5.7,5.7
tma_lcp,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.4,1.4,1.4,1.4,1.4
