Metric,2025-05-02-04-13-23,2025-05-02-04-13-25,2025-05-05-00-34-07,2025-05-05-00-34-10,2025-05-05-04-06-33
time_elapsed,12314.607595542,12387.551842991,12366.137024937,12439.906674573,12497.013384381
tma_core_bound,6.5,6.6,6.4,6.5,6.4
tma_memory_bound,9.1,9.2,8.9,9.0,9.1
total_uops,"57,298,290,064,479","57,496,826,770,670","57,264,612,906,459","57,412,521,911,161","57,286,855,120,473"
