Metric,2025-04-30-12-37-55,2025-04-30-12-37-57,2025-04-30-13-18-27,2025-04-30-13-18-29,2025-04-30-13-58-52,2025-04-30-13-58-54,2025-04-30-14-39-08,2025-04-30-14-39-10,2025-04-30-15-19-52,2025-04-30-15-19-54
time_elapsed,2125.785253109,2107.062059637,2119.284458436,2110.094762273,2109.876557194,2088.496748660,2080.022800230,2138.388263035,2133.293825876,2126.956170983
tma_fetch_bandwidth,19.1,18.9,18.8,18.7,18.4,19.0,19.2,18.4,18.7,18.3
tma_fetch_latency,28.0,25.8,26.7,25.8,25.3,25.5,25.9,26.8,27.1,25.4
