Metric,2025-05-03-07-43-37,2025-05-03-07-43-39,2025-05-07-08-54-32,2025-05-07-08-54-34,2025-05-07-13-47-56
time_elapsed,16988.327024638,17171.725241126,17297.394012495,16837.299165198,17017.419216189
tma_backend_bound,20.4,20.3,20.0,20.3,20.6
tma_bad_speculation,7.0,7.0,6.7,7.1,6.9
tma_frontend_bound,46.2,46.7,47.4,46.1,46.1
tma_retiring,26.4,26.0,25.9,26.6,26.4
total_uops,"72,900,191,544,755","73,032,622,175,821","72,548,635,035,773","72,986,820,339,061","72,800,116,856,597"
