Metric,2025-04-30-08-44-50,2025-04-30-08-44-52,2025-04-30-09-31-06,2025-04-30-09-31-08,2025-04-30-10-17-51,2025-04-30-10-17-53,2025-04-30-11-04-12,2025-04-30-11-04-14,2025-04-30-11-50-33,2025-04-30-11-50-35
time_elapsed,2471.067798721,2444.182988265,2499.143233699,2459.398185081,2473.059275001,2474.755208815,2441.607615662,2474.919007416,2453.260292381,2536.527888631
tma_fetch_bandwidth,20.6,21.0,20.4,21.1,20.6,20.9,21.1,20.4,21.1,20.1
tma_fetch_latency,22.4,22.7,22.7,23.0,22.9,23.0,22.4,22.5,22.5,24.9
