Metric,2025-05-01-00-55-18,2025-05-01-00-55-20,2025-05-01-01-51-56,2025-05-01-01-51-58,2025-05-01-02-48-01,2025-05-01-02-48-03,2025-05-01-03-43-44,2025-05-01-03-43-46,2025-05-01-04-39-29,2025-05-01-04-39-31
time_elapsed,3092.235663669,3036.856844424,3056.654925262,3059.186963299,3009.820793603,3037.616200679,3038.477135018,3024.272525021,3035.176070916,3039.362869821
tma_branch_resteers,5.8,4.5,4.7,5.5,4.6,4.5,4.5,4.6,4.8,4.5
tma_dsb_switches,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8
tma_icache_misses,9.4,9.2,9.2,9.4,9.3,9.2,8.8,8.9,9.1,9.0
tma_itlb_misses,9.8,9.8,9.9,9.3,9.8,9.8,9.8,10.2,9.8,9.7
tma_lcp,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
tma_ms_switches,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
