Metric,1,2,3,4,5
time_elapsed,0.754170769,0.757101915,0.741530409,0.746062222,0.741320402
tma_divider,1.6,1.7,1.8,1.9,1.7
tma_ports_utilization,28.1,27.4,25.5,27.4,28.9
total_uops,"8,540,493,786","8,654,446,333","8,787,325,962","9,104,058,379","8,328,418,340"
