Metric,2025-05-02-09-08-12,2025-05-02-09-08-14,2025-05-06-06-23-01,2025-05-06-06-23-03,2025-05-06-08-21-56
time_elapsed,6829.990224544,6743.643185381,6753.559164575,6828.557418001,6776.815400056
tma_core_bound,6.3,6.2,6.2,6.4,6.4
tma_memory_bound,8.5,8.1,8.2,8.5,8.5
total_uops,"33,713,547,297,689","33,720,999,443,577","33,666,019,561,604","33,853,995,797,602","33,693,981,733,384"
