Metric,2025-04-26-21-38-34,2025-04-26-23-32-22,2025-04-27-01-27-07,2025-04-27-03-22-31,2025-04-27-05-20-46,2025-05-04-02-40-51,2025-05-04-02-40-53,2025-05-06-16-48-50,2025-05-06-17-26-06,2025-05-06-17-26-08,2025-05-06-18-03-29,2025-05-06-18-03-31
time_elapsed,6525.129231278,6581.207543421,6621.242691230,6791.265414210,6545.341778773,1876.653543482,1801.282619813,1830.346714246,1936.045672940,1823.289748405,1769.798813066,1945.754787550
tma_branch_resteers,12.7,12.8,12.9,14.3,12.6,12.1,12.4,12.4,12.8,13.1,12.4,12.2
tma_dsb_switches,2.0,2.0,2.0,2.0,2.0,1.9,2.0,2.0,1.9,1.9,2.0,1.9
tma_icache_misses,18.7,18.6,19.0,19.4,18.5,17.7,17.9,17.9,18.2,18.4,18.3,17.7
tma_itlb_misses,5.2,5.2,5.2,5.4,5.2,5.7,5.4,5.3,5.6,5.4,5.6,5.5
tma_lcp,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
tma_ms_switches,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.4
